0 Transform(Location(x=-164.732162, y=-95.141876, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
1 Transform(Location(x=-44.188328, y=-39.610611, z=0.450000), Rotation(pitch=0.000000, yaw=-90.337494, roll=0.000000))
2 Transform(Location(x=-54.711468, y=-41.650139, z=0.450000), Rotation(pitch=0.000000, yaw=89.662514, roll=0.000000))
3 Transform(Location(x=-51.199158, y=-39.570789, z=0.450000), Rotation(pitch=0.000000, yaw=89.662514, roll=0.000000))
4 Transform(Location(x=-162.537445, y=-91.638618, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
5 Transform(Location(x=-95.240860, y=-88.037468, z=0.300000), Rotation(pitch=0.000000, yaw=0.086306, roll=0.000000))
6 Transform(Location(x=-127.747406, y=53.414654, z=0.300000), Rotation(pitch=0.000000, yaw=89.488602, roll=0.000000))
7 Transform(Location(x=-96.746132, y=-84.539719, z=0.300000), Rotation(pitch=0.000000, yaw=0.086306, roll=0.000000))
8 Transform(Location(x=35.056522, y=163.656631, z=0.300000), Rotation(pitch=0.000000, yaw=-89.977112, roll=0.000000))
9 Transform(Location(x=31.557194, y=161.955246, z=0.300000), Rotation(pitch=0.000000, yaw=-89.977112, roll=0.000000))
10 Transform(Location(x=-127.151070, y=120.221970, z=0.300000), Rotation(pitch=0.000000, yaw=89.488602, roll=0.000000))
11 Transform(Location(x=-47.807079, y=-59.759644, z=0.450000), Rotation(pitch=0.000000, yaw=-90.337494, roll=0.000000))
12 Transform(Location(x=-44.300064, y=-58.580273, z=0.450000), Rotation(pitch=0.000000, yaw=-90.337494, roll=0.000000))
13 Transform(Location(x=-54.806961, y=-59.719818, z=0.450000), Rotation(pitch=0.000000, yaw=89.662514, roll=0.000000))
14 Transform(Location(x=-51.299950, y=-58.540447, z=0.450000), Rotation(pitch=0.000000, yaw=89.662514, roll=0.000000))
15 Transform(Location(x=-184.579834, y=-31.771498, z=0.600000), Rotation(pitch=0.000000, yaw=-90.015808, roll=0.000000))
16 Transform(Location(x=-188.079239, y=-29.370184, z=0.600000), Rotation(pitch=0.000000, yaw=-90.015808, roll=0.000000))
17 Transform(Location(x=-191.579788, y=-31.798672, z=0.600000), Rotation(pitch=0.000000, yaw=89.984192, roll=0.000000))
18 Transform(Location(x=28.071249, y=54.347980, z=0.300000), Rotation(pitch=0.000000, yaw=90.022896, roll=0.000000))
19 Transform(Location(x=-131.231186, y=55.245819, z=0.300000), Rotation(pitch=0.000000, yaw=89.488602, roll=0.000000))
20 Transform(Location(x=24.570692, y=55.746586, z=0.300000), Rotation(pitch=0.000000, yaw=90.022896, roll=0.000000))
21 Transform(Location(x=-17.587875, y=-4.413764, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
22 Transform(Location(x=-19.079281, y=-0.880121, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
23 Transform(Location(x=28.052719, y=121.197929, z=0.300000), Rotation(pitch=0.000000, yaw=90.022896, roll=0.000000))
24 Transform(Location(x=24.552084, y=122.796539, z=0.300000), Rotation(pitch=0.000000, yaw=90.022896, roll=0.000000))
25 Transform(Location(x=-10.121180, y=95.555092, z=0.300000), Rotation(pitch=0.000000, yaw=-0.416199, roll=0.000000))
26 Transform(Location(x=-8.746604, y=92.056778, z=0.300000), Rotation(pitch=0.000000, yaw=-0.416199, roll=0.000000))
27 Transform(Location(x=-130.666962, y=118.453247, z=0.300000), Rotation(pitch=0.000000, yaw=89.488602, roll=0.000000))
28 Transform(Location(x=-195.079193, y=-29.398745, z=0.600000), Rotation(pitch=0.000000, yaw=89.984192, roll=0.000000))
29 Transform(Location(x=-184.586487, y=-55.941498, z=0.600000), Rotation(pitch=0.000000, yaw=-90.015808, roll=0.000000))
30 Transform(Location(x=-188.085876, y=-53.540184, z=0.600000), Rotation(pitch=0.000000, yaw=-90.015808, roll=0.000000))
31 Transform(Location(x=-191.586426, y=-55.968670, z=0.600000), Rotation(pitch=0.000000, yaw=89.984192, roll=0.000000))
32 Transform(Location(x=-195.085831, y=-53.568745, z=0.600000), Rotation(pitch=0.000000, yaw=89.984192, roll=0.000000))
33 Transform(Location(x=-184.560760, y=38.028496, z=0.600000), Rotation(pitch=0.000000, yaw=-90.015808, roll=0.000000))
34 Transform(Location(x=-188.061172, y=36.229809, z=0.600000), Rotation(pitch=0.000000, yaw=-90.015808, roll=0.000000))
35 Transform(Location(x=-191.560699, y=38.001324, z=0.600000), Rotation(pitch=0.000000, yaw=89.984192, roll=0.000000))
36 Transform(Location(x=-195.061127, y=36.201248, z=0.600000), Rotation(pitch=0.000000, yaw=89.984192, roll=0.000000))
37 Transform(Location(x=-184.555496, y=57.088493, z=0.600000), Rotation(pitch=0.000000, yaw=-90.015808, roll=0.000000))
38 Transform(Location(x=-188.055908, y=55.289810, z=0.600000), Rotation(pitch=0.000000, yaw=-90.015808, roll=0.000000))
39 Transform(Location(x=-191.555450, y=57.061321, z=0.600000), Rotation(pitch=0.000000, yaw=89.984192, roll=0.000000))
40 Transform(Location(x=-195.055878, y=55.261250, z=0.600000), Rotation(pitch=0.000000, yaw=89.984192, roll=0.000000))
41 Transform(Location(x=-54.195923, y=55.444775, z=0.600000), Rotation(pitch=0.000000, yaw=90.379280, roll=0.000000))
42 Transform(Location(x=-50.685390, y=53.867962, z=0.600000), Rotation(pitch=0.000000, yaw=90.379280, roll=0.000000))
43 Transform(Location(x=-47.196072, y=55.491123, z=0.600000), Rotation(pitch=0.000000, yaw=-89.620728, roll=0.000000))
44 Transform(Location(x=-43.685539, y=53.914310, z=0.600000), Rotation(pitch=0.000000, yaw=-89.620728, roll=0.000000))
45 Transform(Location(x=28.046694, y=163.645676, z=0.300000), Rotation(pitch=0.000000, yaw=90.022896, roll=0.000000))
46 Transform(Location(x=24.547365, y=161.944290, z=0.300000), Rotation(pitch=0.000000, yaw=90.022896, roll=0.000000))
47 Transform(Location(x=35.063633, y=121.195282, z=0.300000), Rotation(pitch=0.000000, yaw=-89.977112, roll=0.000000))
48 Transform(Location(x=58.182587, y=187.856827, z=0.300000), Rotation(pitch=0.000000, yaw=-179.719513, roll=0.000000))
49 Transform(Location(x=58.146431, y=194.856735, z=0.300000), Rotation(pitch=0.000000, yaw=-179.712158, roll=0.000000))
50 Transform(Location(x=55.864006, y=191.345093, z=0.300000), Rotation(pitch=0.000000, yaw=-179.712158, roll=0.000000))
51 Transform(Location(x=-17.602392, y=2.592170, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
52 Transform(Location(x=-19.093874, y=6.095813, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
53 Transform(Location(x=-131.776047, y=-60.014008, z=0.300000), Rotation(pitch=0.000000, yaw=90.393547, roll=0.000000))
54 Transform(Location(x=-128.284348, y=-58.789974, z=0.300000), Rotation(pitch=0.000000, yaw=90.393547, roll=0.000000))
55 Transform(Location(x=-124.777138, y=-59.830914, z=0.300000), Rotation(pitch=0.000000, yaw=-89.606445, roll=0.000000))
56 Transform(Location(x=-121.285439, y=-58.606880, z=0.300000), Rotation(pitch=0.000000, yaw=-89.606445, roll=0.000000))
57 Transform(Location(x=-158.209869, y=2.934412, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
58 Transform(Location(x=-159.701355, y=6.438059, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
59 Transform(Location(x=-158.202316, y=-4.065611, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
60 Transform(Location(x=-159.693802, y=-0.561970, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
61 Transform(Location(x=-220.048904, y=-3.915073, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
62 Transform(Location(x=-217.640381, y=-0.420926, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
63 Transform(Location(x=-82.611153, y=-4.249602, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
64 Transform(Location(x=-81.402634, y=-0.752534, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
65 Transform(Location(x=-82.602486, y=2.750381, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
66 Transform(Location(x=-81.393974, y=6.247448, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
67 Transform(Location(x=-90.766502, y=94.962852, z=0.300000), Rotation(pitch=0.000000, yaw=0.065570, roll=0.000000))
68 Transform(Location(x=-88.962502, y=91.464912, z=0.300000), Rotation(pitch=0.000000, yaw=0.065570, roll=0.000000))
69 Transform(Location(x=-90.777313, y=87.962799, z=0.300000), Rotation(pitch=0.000000, yaw=-179.934418, roll=0.000000))
70 Transform(Location(x=-88.973305, y=84.464859, z=0.300000), Rotation(pitch=0.000000, yaw=-179.934418, roll=0.000000))
71 Transform(Location(x=-78.550858, y=-88.012390, z=0.300000), Rotation(pitch=0.000000, yaw=0.086306, roll=0.000000))
72 Transform(Location(x=-80.056129, y=-84.514633, z=0.300000), Rotation(pitch=0.000000, yaw=0.086306, roll=0.000000))
73 Transform(Location(x=-78.576599, y=-95.012421, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
74 Transform(Location(x=-80.081871, y=-91.514656, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
75 Transform(Location(x=27.368534, y=-128.487457, z=0.300000), Rotation(pitch=0.000000, yaw=91.532082, roll=0.000000))
76 Transform(Location(x=30.915138, y=-130.183197, z=0.300000), Rotation(pitch=0.000000, yaw=91.532082, roll=0.000000))
77 Transform(Location(x=27.042097, y=-116.281822, z=0.300000), Rotation(pitch=0.000000, yaw=91.532082, roll=0.000000))
78 Transform(Location(x=30.588434, y=-117.967575, z=0.300000), Rotation(pitch=0.000000, yaw=91.532082, roll=0.000000))
79 Transform(Location(x=34.041451, y=-116.164551, z=0.300000), Rotation(pitch=0.000000, yaw=-88.467949, roll=0.000000))
80 Transform(Location(x=37.588329, y=-117.870308, z=0.300000), Rotation(pitch=0.000000, yaw=-88.467949, roll=0.000000))
81 Transform(Location(x=34.371689, y=-128.510254, z=0.300000), Rotation(pitch=0.000000, yaw=-88.467949, roll=0.000000))
82 Transform(Location(x=37.918297, y=-130.206009, z=0.300000), Rotation(pitch=0.000000, yaw=-88.467949, roll=0.000000))
83 Transform(Location(x=0.562071, y=-4.457942, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
84 Transform(Location(x=-0.929380, y=-0.944301, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
85 Transform(Location(x=0.547553, y=2.547991, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
86 Transform(Location(x=-0.943924, y=6.051632, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
87 Transform(Location(x=-20.188446, y=-87.924217, z=0.300000), Rotation(pitch=0.000000, yaw=0.086306, roll=0.000000))
88 Transform(Location(x=-18.793718, y=-84.422150, z=0.300000), Rotation(pitch=0.000000, yaw=0.086306, roll=0.000000))
89 Transform(Location(x=-18.783285, y=-91.422050, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
90 Transform(Location(x=-20.178013, y=-94.924118, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
91 Transform(Location(x=-0.358464, y=-87.894363, z=0.300000), Rotation(pitch=0.000000, yaw=0.086306, roll=0.000000))
92 Transform(Location(x=1.036263, y=-84.392296, z=0.300000), Rotation(pitch=0.000000, yaw=0.086306, roll=0.000000))
93 Transform(Location(x=1.046695, y=-91.392197, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
94 Transform(Location(x=-0.348032, y=-94.894264, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
95 Transform(Location(x=-159.061783, y=87.884689, z=0.300000), Rotation(pitch=0.000000, yaw=-179.934418, roll=0.000000))
96 Transform(Location(x=-161.357559, y=84.382019, z=0.300000), Rotation(pitch=0.000000, yaw=-179.934418, roll=0.000000))
